fieldID, ra (rad), dec (rad)
(158, 2.8486707663436497, -1.2257063095874108)
(159, 4.105305697250704, -1.225706043271301)
(160, 2.177879476770838, -1.225706043271301)
(161, 5.9477899952883115, -1.2257057769551913)
(162, 0.33539537847029816, -1.2257057769551913)
(163, 5.36194409026716, -1.2257055106390833)
(164, 0.9212410837543736, -1.2257055106390833)
(165, 4.691153466484609, -1.2257055106390833)
(166, 1.592031707536916, -1.2257055106390833)
(167, 4.259024953266724, -1.210299656365193)
(168, 2.0241603539128614, -1.210299656365193)
(169, 5.794072869801153, -1.2102992568910291)
(170, 0.4891121710623184, -1.2102992568910291)
(171, 4.537434743100804, -1.2102991237329734)
(172, 1.7457506972368273, -1.2102991237329734)
(173, 5.515661215754318, -1.210298457942702)
(174, 0.7675240914252716, -1.210298457942702)
(175, 3.2807982142971026, -1.2102983247846484)
(176, 3.0023870928824836, -1.2102983247846484)
(177, 4.950378110141875, -1.1950362812096211)
(178, 1.3328073301957641, -1.1950362812096211)
(179, 3.8460837167545177, -1.1950362812096211)
(180, 2.4371015904250686, -1.1950362812096211)
(181, 3.6937394508093098, -1.1950358817354578)
(182, 2.5894458563702765, -1.1950358817354578)
(183, 5.102719979242112, -1.1950358817354578)
(184, 1.180465061621362, -1.1950358817354578)
(185, 6.207011975784479, -1.1950358817354578)
(186, 0.07617311501326182, -1.1950358817354578)
(187, 3.5434956200158307, -1.1895297961817186)
(188, 2.739689687163755, -1.1895297961817186)
(189, 4.8001348119806115, -1.1895296630236645)
(190, 1.48305062835702, -1.1895296630236645)
(191, 3.9963286128124276, -1.1895292635495012)
(192, 2.286856694367158, -1.1895292635495012)
(193, 6.056768677623234, -1.189529130391447)
(194, 0.2264167294248967, -1.189529130391447)
(195, 5.25296381003559, -1.1895289972333913)
(196, 1.0302214971439967, -1.1895289972333913)
(197, 3.141592653589793, -1.1889968976475949)
(198, 4.398232910819023, -1.1889960986992674)
(199, 1.8849523963605634, -1.1889960986992674)
(200, 5.654866776461628, -1.188995832383158)
(201, 0.6283187304550404, -1.188995832383158)
(202, 3.3993634776079875, -1.178453176575861)
(203, 2.883821829571599, -1.178453176575861)
(204, 4.140459956271965, -1.1784518449953163)
(205, 2.1427254840656835, -1.1784518449953163)
(206, 4.656000805360013, -1.1784518449953163)
(207, 1.6271847681356886, -1.1784518449953163)
(208, 5.397097816656205, -1.1784518449953163)
(209, 0.8860873573653277, -1.1784518449953163)
(210, 5.912637334163696, -1.1784517118372622)
(211, 0.37054773998928614, -1.1784517118372622)
